City,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),Condition
New York,15.5,88,0,20.7,Thunderstorm
London,6.3,32,17.6,23.7,Snow
Tokyo,38.7,42,12.7,27.7,Sunny
Sydney,19.1,38,16,31.2,Sunny
Cape Town,31.4,74,13.3,36.8,Rain
Rio de Janeiro,8.5,73,3,12.2,Sunny
New York,15.1,94,26,37.4,Snow
London,36.9,73,0,23.3,Rain
Tokyo,19.5,53,13.2,18.9,Rain
Sydney,26.8,67,0,39.3,Sunny
Cape Town,18.4,75,6.6,19.6,Cloudy
Rio de Janeiro,28.8,52,27.1,38.2,Rain
New York,5.3,80,2.9,17.6,Sunny
London,22.3,43,29.5,31.9,Cloudy
Tokyo,35.6,36,0,12.6,Sunny
Sydney,35.7,81,13.2,12.1,Cloudy
Cape Town,13.1,56,18.8,36,Thunderstorm
Rio de Janeiro,6,49,10.1,22.3,Snow
New York,26.7,79,26.1,22.3,Rain
London,12.7,40,6.8,11.7,Snow
Tokyo,26.8,31,22.8,27.1,Cloudy
Sydney,9.2,40,0,17.2,Rain
Cape Town,20.4,37,21.6,29.8,Sunny
Rio de Janeiro,18.9,83,24.8,12.6,Rain
New York,32.7,34,0,34.3,Sunny
London,18,93,23.4,25.1,Thunderstorm
Tokyo,12.2,33,14,10.7,Snow
Sydney,6,72,22.4,15.5,Snow
Cape Town,9.1,50,18.5,24.7,Rain
Rio de Janeiro,10.5,51,28.4,34.2,Snow
New York,38,69,0,8.6,Thunderstorm
London,24.7,58,5.9,11.9,Thunderstorm
Tokyo,37.2,92,7.6,33.6,Snow
Sydney,11.4,49,0,8.8,Cloudy
Cape Town,7.4,56,10,5.9,Cloudy
Rio de Janeiro,31.5,63,8.7,30.7,Thunderstorm
New York,27.3,64,0,9.8,Rain
London,1.5,40,25.9,26.3,Cloudy
Tokyo,14.2,64,8.2,15.1,Cloudy
Sydney,17.1,66,14.8,8.3,Cloudy
Cape Town,30.6,65,0.6,33.6,Sunny
Rio de Janeiro,13.8,60,1.2,27.5,Sunny
New York,25.9,61,5,21.6,Thunderstorm
London,3.2,58,13.3,6.7,Thunderstorm
Tokyo,31.3,92,23.8,20.9,Sunny
Sydney,34.6,77,14.3,11,Cloudy
Cape Town,6.6,39,27.2,10.8,Rain
Rio de Janeiro,36.1,48,0,28.5,Thunderstorm
New York,10.3,33,27.4,26.2,Sunny
London,-1.7,86,26.1,27.4,Sunny
